scenario_tag,N_real,beta,reactive_vacc_inplace,react_type,vacc_limit_react,vacc_daily_react,vac_elderly_inplace,frac_elderly_vacc,vac_rand_inplace,random_type,vacc_limit_rand_pop,vac_daily_randl_pop,vacc_min_WP_size,screening_min_size,r_V,v_trans,v_sus_MID,v_sus_FUL,w_rate_MID_to_FUL,w_rate_LOW_to_MID,age_th,age_vax_elderly_th,coverage_vacc_higher_65,coverage_vacc_lower_65,th_cluster_vacc,immunity_option,immunity_random,init_incid_100000,will_be_d_symp,will_be_d_asymp,r_d_symp,r_d_asymp,HHisolation_inplace,p_c_HH,skip_iso,factor_isol,manualCT_inplace,r_mCT,acquai_frequency,p_rA,p_rS,tracing_lookback,dur_isol_inf,dur_isol_sus,dur_isol_rec,age_min_testing,interv_cumul_cases,regular_screening_HH_inplace,regular_screening_S_inplace,regular_screening_WP_inplace,f_HH_screening,f_S_screening,f_WP_screening,testing_proportion_HH,testing_proportion_S,testing_proportion_WP,interval_screening,reactive_screening_S_inplace,reactive_screening_WP_inplace,reactive_tests_daily,reactive_tests_limit,th_cluster_screen,r_react_screen,vgamm,ve_rate,vp1_rate,vp2_rate,E_ve_rate,gamm,e_rate,p1_rate,p2_rate,r_a,refresh_network,number_networks,max_steps,print_all,print_infectors,print_isolations,pct_comty_contact,pct_teleworking,wgt_lyr_household,wgt_lyr_workspace,wgt_lyr_school,wgt_lyr_community,wgt_lyr_transport,vac_init_inplace,frac_init_vacc,skip_iso_aft_inv,p_c_HH_aft_inv,p_rA_aft_inv,p_rS_aft_inv,r_d_symp_aft_inv,r_d_asymp_aft_inv,will_be_d_symp_aft_inv,will_be_d_asymp_aft_inv,incrVaccAccept_inplace,stop
CT_test1_nol,20,0.3,1,1,500000,10000,1,70,0,4,1000000,50,20,20,0.5,1,1,0.08,0.067,0.067,15,60,77.1,55.3,0,20,2,15,0.5,0.1,0.28,0.28,1,0.7,0.13,0.5,1,0.9,0.14,0.08,0.008,6,7,7,7,10,7,0,0,0,0,0.5,0.5,0,0.2,0.2,7,0,0,100000000,100000000,1,0.9,0.143,0.345,0.43,0.43,0.7,0.143,0.345,0.43,0.43,0.51,50,100,126,0,1,1,0.6,0.4,1,0.5,0.5,0.3,0.5,0,20,0,1,0.24,0.024,1,1,1,0.5,0,0
CT_test2_nol,1,0.3,1,1,500000,10000,1,70,0,4,1000000,50,20,20,0.5,1,1,0.08,0.067,0.067,15,60,77.1,55.3,1,20,2,15,0.5,0.1,0.28,0.28,1,0.7,0.13,0.5,1,0.9,0.14,0.08,0.008,6,7,7,7,10,7,0,0,0,0,0.5,0.5,0,0.2,0.2,7,0,0,100000000,100000000,1,0.9,0.143,0.345,0.43,0.43,0.7,0.143,0.345,0.43,0.43,0.51,50,100,126,0,1,1,0.6,0.4,1,0.5,0.5,0.3,0.5,0,20,0,1,0.24,0.024,1,1,1,0.5,0,0
CT_test3_nol,1,0.3,1,1,500000,10000,1,70,0,4,1000000,50,20,20,0.5,1,1,0.08,0.067,0.067,15,60,77.1,55.3,2,20,2,15,0.5,0.1,0.28,0.28,1,0.7,0.13,0.5,1,0.9,0.14,0.08,0.008,6,7,7,7,10,7,0,0,0,0,0.5,0.5,0,0.2,0.2,7,0,0,100000000,100000000,1,0.9,0.143,0.345,0.43,0.43,0.7,0.143,0.345,0.43,0.43,0.51,50,100,126,0,1,1,0.6,0.4,1,0.5,0.5,0.3,0.5,0,20,0,1,0.24,0.024,1,1,1,0.5,0,0
CT_test4_nol,1,0.3,1,1,500000,10000,1,70,0,4,1000000,50,20,20,0.5,1,1,0.08,0.067,0.067,15,60,77.1,55.3,3,20,2,15,0.5,0.1,0.28,0.28,1,0.7,0.13,0.5,1,0.9,0.14,0.08,0.008,6,7,7,7,10,7,0,0,0,0,0.5,0.5,0,0.2,0.2,7,0,0,100000000,100000000,1,0.9,0.143,0.345,0.43,0.43,0.7,0.143,0.345,0.43,0.43,0.51,50,100,126,0,1,1,0.6,0.4,1,0.5,0.5,0.3,0.5,0,20,0,1,0.24,0.024,1,1,1,0.5,0,0
CT_test5_nol,1,0.3,1,1,500000,10000,1,70,0,4,1000000,50,20,20,0.5,1,1,0.08,0.067,0.067,15,60,77.1,55.3,4,20,2,15,0.5,0.1,0.28,0.28,1,0.7,0.13,0.5,1,0.9,0.14,0.08,0.008,6,7,7,7,10,7,0,0,0,0,0.5,0.5,0,0.2,0.2,7,0,0,100000000,100000000,1,0.9,0.143,0.345,0.43,0.43,0.7,0.143,0.345,0.43,0.43,0.51,50,100,126,0,1,1,0.6,0.4,1,0.5,0.5,0.3,0.5,0,20,0,1,0.24,0.024,1,1,1,0.5,0,0
CT_test6_nol,1,0.3,1,1,500000,10000,1,70,0,4,1000000,50,20,20,0.5,1,1,0.08,0.067,0.067,15,60,77.1,55.3,5,20,2,15,0.5,0.1,0.28,0.28,1,0.7,0.13,0.5,1,0.9,0.14,0.08,0.008,6,7,7,7,10,7,0,0,0,0,0.5,0.5,0,0.2,0.2,7,0,0,100000000,100000000,1,0.9,0.143,0.345,0.43,0.43,0.7,0.143,0.345,0.43,0.43,0.51,50,100,126,0,1,1,0.6,0.4,1,0.5,0.5,0.3,0.5,0,20,0,1,0.24,0.024,1,1,1,0.5,0,0
reg_screen_test1,10,0.5,1,1,50000,100,1,70,0,4,1000000,50,20,20,0.5,1,1,0.08,0.067,0.067,15,60,77.1,55.3,1,20,2,15,0.5,0.1,0.28,0.28,1,0.7,0.13,0.5,1,0.9,0.14,0.08,0.008,6,7,7,7,10,7,0,1,1,0,0.5,0.5,0,0.2,0.2,7,0,0,100000000,100000000,1,0.9,0.143,0.345,0.43,0.43,0.7,0.143,0.345,0.43,0.43,0.51,50,100,126,0,1,1,0.6,0.4,1,0.5,0.5,0.3,0.5,0,20,0,1,0.24,0.024,1,1,1,0.5,0,0
reac_screen_test1,10,0.5,1,1,50000,100,1,70,0,4,1000000,50,20,20,0.5,1,1,0.08,0.067,0.067,15,60,77.1,55.3,1,20,2,15,0.5,0.1,0.28,0.28,1,0.7,0.13,0.5,1,0.9,0.14,0.08,0.008,6,7,7,7,10,7,0,0,0,0,0.5,0.5,0,0.2,0.2,7,1,1,100000000,100000000,1,0.9,0.143,0.345,0.43,0.43,0.7,0.143,0.345,0.43,0.43,0.51,50,100,126,0,1,1,0.6,0.4,1,0.5,0.5,0.3,0.5,0,20,0,1,0.24,0.024,1,1,1,0.5,0,0
invasion_test_random_basicopinion,20,0.29,0,1,50000,100,1,70,1,1,1000000,600,20,20,0.5,1,1,0.08,0.067,0.067,15,60,77.1,55.3,1,20,2,3,0.5,0.1,0.28,0.28,1,0.7,0.13,0.5,1,0.9,0.14,0.08,0.008,6,7,7,7,10,7,0,0,0,0,0.5,0.5,0,0.2,0.2,7,0,0,100000000,100000000,1,0.9,0.143,0.345,0.43,0.43,0.7,0.143,0.345,0.43,0.43,0.51,50,100,126,0,1,1,0.6,0.4,1,0.5,0.5,0.3,0.5,1,20,0,1,0.24,0.024,1,1,1,0.5,0,0
invasion_test_random_100pctopinion,20,0.29,0,1,50000,100,1,70,1,1,1000000,600,20,20,0.5,1,1,0.08,0.067,0.067,15,60,77.1,55.3,1,20,2,3,0.5,0.1,0.28,0.28,1,0.7,0.13,0.5,1,0.9,0.14,0.08,0.008,6,7,7,7,10,7,0,0,0,0,0.5,0.5,0,0.2,0.2,7,0,0,100000000,100000000,1,0.9,0.143,0.345,0.43,0.43,0.7,0.143,0.345,0.43,0.43,0.51,50,100,126,0,1,1,0.6,0.4,1,0.5,0.5,0.3,0.5,1,20,0,1,0.24,0.024,1,1,1,0.5,1,0
